index,name
0,Accomack
1,Albemarle
2,Alexandria City
3,Alleghany
4,Amelia
5,Amherst
6,Appomattox
7,Arlington
8,Augusta
9,Bath
10,Bedford
11,Bedford City
12,Bland
13,Botetourt
14,Bristol
15,Brunswick
16,Buchanan
17,Buckingham
18,Buena Vista City
19,Campbell
20,Caroline
21,Carroll
22,Charles City
23,Charlotte
24,Charlottesville City
25,Chesapeake City
26,Chesterfield
27,Clarke
28,Colonial Heights City
29,Covington City
30,Craig
31,Culpeper
32,Cumberland
33,Danville City
34,Dickenson
35,Dinwiddie
36,Emporia City
37,Essex
38,Fairfax
39,Fairfax City
40,Falls Church City
41,Fauquier
42,Floyd
43,Fluvanna
44,Franklin
45,Franklin City
46,Frederick
47,Fredericksburg City
48,Galax City
49,Giles
50,Gloucester
51,Goochland
52,Grayson
53,Greene
54,Halifax
55,Hampton City
56,Hanover
57,Harrisonburg City
58,Henrico
59,Henry
60,Highland
61,Hopewell City
62,Isle Of Wight
63,James City
64,King And Queen
65,King George
66,King William
67,Lancaster
68,Lee
69,Lexington City
70,Loudoun
71,Louisa
72,Lunenburg
73,Lynchburg City
74,Madison
75,Manassas City
76,Manassas Park City
77,Martinsville City
78,Mathews
79,Mecklenburg
80,Middlesex
81,Montgomery
82,Nelson
83,New Kent
84,Newport News City
85,Norfolk City
86,Northampton
87,Northumberland
88,Norton City
89,Nottoway
90,Orange
91,Page
92,Patrick
93,Petersburg City
94,Pittsylvania
95,Poquoson City
96,Portsmouth City
97,Powhatan
98,Prince Edward
99,Prince George
100,Prince William
101,Pulaski
102,Radford
103,Rappahannock
104,Richmond
105,Richmond City
106,Roanoke
107,Roanoke City
108,Rockbridge
109,Rockingham
110,Russell
111,Salem
112,Scott
113,Shenandoah
114,Smyth
115,Southampton
116,Spotsylvania
117,Stafford
118,Staunton City
119,Suffolk City
120,Surry
121,Sussex
122,Tazewell
123,Virginia Beach City
124,Warren
125,Washington
126,Waynesboro City
127,Westmoreland
128,Williamsburg City
129,Winchester City
130,Wise
131,Wythe
132,York
